"Specieslist","Similarity"
"Jaera ischiosetosa","100"
"Jassa falcata","100"
"Jassa herdmani","99.35"
"Jassa slatteryi","100"
"Jujubinus striatus","100"
"Kirchenpaueria pinnata","100"
"Lacuna vincta","100"
"Laomedea calceolifera","100"
"Laomedea flexuosa","100"
"Laonice cirrata","98.06"
"Laophonte longicaudata","100"
"Lebbeus polaris","100"
"Leimia vaga","100"
"Lepadogaster candolii","99.68"
"Lepidonotus squamatus","100"
"Leuckartiara octona","100"
"Limacia clavigera","100"
"Limanda limanda","100"
"Limapontia senestra","100"
"Lineus bilineatus","99.03"
"Liocarcinus navigator","100"
"Liparis montagui","100"
"Littorina littorea","100"
"Lizzia blondina","100"
"Lumbricillus lineatus","100"
"Lysilla loveni","99.35"
"Macrochaeta clavicornis","100"
"Magelona johnstoni","100"
"Magelona mirabilis","99.03"
"Malmgrenia lunulata","99.61"
"Marthasterias glacialis","100"
"Mediomastus fragilis","100"
"Melinna palmata","97.41"
"Membranipora membranacea","100"
"Mesochra pygmaea","100"
"Metridium dianthus","100"
"Microdeutopus gryllotalpa","100"
"Microporella ciliata","100"
"Microprotopus maculatus","100"
"Micrura fasciolata","99.68"
"Ministeria vibrans","100"
"Mitrocomella polydiademata","100"
"Modiolula phaseolina","100"
"Modiolus barbatus","100"
"Monocorophium acherusicum","100"
"Monocorophium insidiosum","100"
"Musculus costulatus","100"
"Musculus subpictus","100"
"Myrianida brachycephala","100"
"Myrianida edwarsi","100"
"Myrianida hesperidium","98.71"
"Myrianida inermis","100"
"Myrianida langerhansi","99.35"
"Myrianida longoprimicirrata","100"
"Myrianida prolifera","100"
"Myrianida rubropunctata","100"
"Mytilus edulis","100"
"Nais elinguis","100"
"Nannonyx goesii","100"
"Nassarius incrassatus","99.67"
"Nassarius nitidus","100"
"Nephtys hombergii","100"
"Nephtys kersivalensis","99.03"
"Nereimyra punctata","100"
"Nereis pelagica","100"
"Nicolea zostericola","97.09"
"Nitokra spinipes","98.89"
"Normanella mucronata","100"
"Normanella obscura","100"
"Nucula sulcata","100"
"Obelia bidentata","100"
"Obelia dichotoma","100"
"Obelia geniculata","99.26"
"Obelia longissima","100"
